,signature_type,use,greenspace,job_types
E01008162,11,0,0,0.5312698201064076
E01008163,11,0,0,0.8347643567334729
E01008164,8,0,0,0.5208367763420018
E01008165,8,0,0,0.5839855101146967
E01008166,11,0,0,0.5927522603684022
E01008167,11,0,0,0.6999159447185704
E01008168,11,0,0,0.6291805510052069
E01008169,12,0,0,0.7586619169068128
E01008170,10,0,0,0.7498759857008679
E01008171,11,0,0,0.6305950242495731
E01008172,4,0,0,0.4163555852767675
E01008173,3,0,0,0.35445678194512115
E01008174,4,0,0,0.5711558348446351
E01008175,3,0,0,0.29882232470262615
E01008176,4,0,0,0.3982891412552479
E01008177,3,0,0,0.7251472914756393
E01008178,8,0,0,0.5001027358407318
E01008179,4,0,0,0.7355679563930393
E01008180,5,0,0,0.5023382985677532
E01008181,3,0,0,0.610673554137246
E01008182,4,0,0,0.5242948148929175
E01008183,2,0,0,0.4183354545268675
E01008184,2,0,0,0.3653866332257764
E01008185,2,0,0,0.511326661280288
E01008186,2,0,0,0.5712623839807401
E01008187,2,0,0,0.5584985344062746
E01008188,2,0,0,0.48114896192773393
E01008189,3,0,0,0.6179737113763573
E01008190,3,0,0,0.617747810243138
E01008191,3,0,0,0.6162010360391847
E01008192,6,0,0,0.617054893282984
E01008193,8,0,0,0.6600762130225823
E01008194,3,0,0,0.7206414649197539
E01008195,2,0,0,0.4993326570828827
E01008196,2,0,0,0.6126373995275959
E01008197,2,0,0,0.5711916035494252
E01008198,2,0,0,0.6258194214047348
E01008199,4,0,0,0.6711096855020389
E01008200,2,0,0,0.6014183464991925
E01008201,7,0,0,0.6027173849252613
E01008202,9,0,0,0.5838350770329771
E01008203,10,0,0,0.7168115518888176
E01008204,9,0,0,0.5886109374951589
E01008205,10,0,0,0.7815269633566574
E01008206,7,0,0,0.5487954820283706
E01008207,4,0,0,0.6419804983455671
E01008208,8,0,0,0.5092680701516253
E01008209,11,0,0,0.5180378394177617
E01008210,8,0,0,0.5003140248362234
E01008211,8,0,0,0.47605113382420794
E01008212,8,0,0,0.7102188418379903
E01008213,4,0,0,0.6599185191140813
E01008214,3,0,0,0.6667722756950049
E01008215,3,0,0,0.48951090348038656
E01008216,8,0,0,0.6222021769121319
E01008217,4,0,0,0.6096669714049948
E01008218,4,0,0,0.7475098087333434
E01008219,5,0,0,0.9597666105085259
